ID,Nederlands,Engels,Level,Parent,Title_Dutch,Title_English,Parent_Title_Dutch,Parent_Title_Englisch
S_A,"Landbouw, bosbouw en visserij","Agriculture, forestry and fishing",Sector,,"A Landbouw, bosbouw en visserij","A Agriculture, forestry and fishing",,
S_B-F,Nijverheid en energie,Industry and energy,Sector,,B-F Nijverheid en energie,B-F Industry and energy,,
S_G-N,Commerciële dienstverlening,Commercial services,Sector,,G-N Commerciële dienstverlening,G-N Commercial services,,
S_O-U,Niet-commerciële dienstverlening,Non-commercial services,Sector,,O-U Niet-commerciële dienstverlening,O-U Non-commercial services,,
A,"Landbouw, bosbouw en visserij","Agriculture, forestry and fishing",Branch,S_A,"A Landbouw, bosbouw en visserij","A Agriculture, forestry and fishing","A Landbouw, bosbouw en visserij","A Agriculture, forestry and fishing"
B,Winning van delfstoffen,Mining and quarrying,Branch,S_B-F,B Winning van delfstoffen,B Mining and quarrying,B-F Nijverheid en energie,B-F Industry and energy
B,Delfstoffenwinning,Mining and quarrying,Branch,S_B-F,B Delfstoffenwinning,B Mining and quarrying,B-F Nijverheid en energie,B-F Industry and energy
C,Industrie,Manufacturing,Branch,S_B-F,C Industrie,C Manufacturing,B-F Nijverheid en energie,B-F Industry and energy
D,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht","Electricity, gas, steam and air conditioning supply",Branch,S_B-F,"D Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht","D Electricity, gas, steam and air conditioning supply",B-F Nijverheid en energie,B-F Industry and energy
D,Energievoorziening,Energy supply,Branch,S_B-F,D Energievoorziening,D Energy supply,B-F Nijverheid en energie,B-F Industry and energy
E,Winning en distributie van water; afval- en afvalwaterbeheer en sanering,"Water supply; sewerage, waste management and remediation activities",Branch,S_B-F,E Winning en distributie van water; afval- en afvalwaterbeheer en sanering,"E Water supply; sewerage, waste management and remediation activities",B-F Nijverheid en energie,B-F Industry and energy
E,Waterbedrijven en afvalbeheer,Water utilities and waste management,Branch,S_B-F,E Waterbedrijven en afvalbeheer,E Water utilities and waste management,B-F Nijverheid en energie,B-F Industry and energy
F,Bouwnijverheid,Construction,Branch,S_B-F,F Bouwnijverheid,F Construction,B-F Nijverheid en energie,B-F Industry and energy
G,Groot- en detailhandel; reparatie van auto's,Wholesale and retail trade; repair of motor vehicles and motorcycles,Branch,S_G-N,G Groot- en detailhandel; reparatie van auto's,G Wholesale and retail trade; repair of motor vehicles and motorcycles,G-N Commerciële dienstverlening,G-N Commercial services
G,Handel,Trade,Branch,S_G-N,G Handel,G Trade,G-N Commerciële dienstverlening,G-N Commercial services
H,Vervoer en opslag,Transportation and storage,Branch,S_G-N,H Vervoer en opslag,H Transportation and storage,G-N Commerciële dienstverlening,G-N Commercial services
I,"Logies-, maaltijd- en drankverstrekking",Accommodation and food service activities,Branch,S_G-N,"I Logies-, maaltijd- en drankverstrekking",I Accommodation and food service activities,G-N Commerciële dienstverlening,G-N Commercial services
I,Horeca,Hospitality,Branch,S_G-N,I Horeca,I Hospitality,G-N Commerciële dienstverlening,G-N Commercial services
J,Informatie en communicatie,Information and communication,Branch,S_G-N,J Informatie en communicatie,J Information and communication,G-N Commerciële dienstverlening,G-N Commercial services
K,Financiële instellingen,Financial institutions,Branch,S_G-N,K Financiële instellingen,K Financial institutions,G-N Commerciële dienstverlening,G-N Commercial services
K,Financiële dienstverlening,Financial services,Branch,S_G-N,K Financiële dienstverlening,K Financial services,G-N Commerciële dienstverlening,G-N Commercial services
L,Verhuur van en handel in onroerend goed,"Renting, buying and selling of real estate",Branch,S_G-N,L Verhuur van en handel in onroerend goed,"L Renting, buying and selling of real estate",G-N Commerciële dienstverlening,G-N Commercial services
L,Verhuur en handel van onroerend goed,Rental and trade of real estate,Branch,S_G-N,L Verhuur en handel van onroerend goed,L Rental and trade of real estate,G-N Commerciële dienstverlening,G-N Commercial services
M,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening","Consultancy, research and other specialised business services",Branch,S_G-N,"M Advisering, onderzoek en overige specialistische zakelijke dienstverlening","M Consultancy, research and other specialised business services",G-N Commerciële dienstverlening,G-N Commercial services
M,Specialistische zakelijke diensten,Special business services,Branch,S_G-N,M Specialistische zakelijke diensten,M Special business services,G-N Commerciële dienstverlening,G-N Commercial services
N,Verhuur van roerende goederen en overige zakelijke dienstverlening,Renting and leasing of tangible goods and other business support services,Branch,S_G-N,N Verhuur van roerende goederen en overige zakelijke dienstverlening,N Renting and leasing of tangible goods and other business support services,G-N Commerciële dienstverlening,G-N Commercial services
N,Verhuur en overige zakelijke diensten,Renting and other business services,Branch,S_G-N,N Verhuur en overige zakelijke diensten,N Renting and other business services,G-N Commerciële dienstverlening,G-N Commercial services
O,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen","Public administration, public services and compulsory social security",Branch,S_O-U,"O Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen","O Public administration, public services and compulsory social security",O-U Niet-commerciële dienstverlening,O-U Non-commercial services
O,Openbaar bestuur en overheidsdiensten,Public administration and service,Branch,S_O-U,O Openbaar bestuur en overheidsdiensten,O Public administration and service,O-U Niet-commerciële dienstverlening,O-U Non-commercial services
P,Onderwijs,Education,Branch,S_O-U,P Onderwijs,P Education,O-U Niet-commerciële dienstverlening,O-U Non-commercial services
Q,Gezondheids- en welzijnszorg,Human health and social work activities,Branch,S_O-U,Q Gezondheids- en welzijnszorg,Q Human health and social work activities,O-U Niet-commerciële dienstverlening,O-U Non-commercial services
